SubjectN,SubjectID,Age,Edu,Gender,Income,SpeededIP,StrategicIP,Percep,Caution,Discount,senseseek,mindful,emot_cont,impuls,goal_dir,rew_sens,risk_per,eat_cont,ethic_risk,soc_risk,fin_risk,agree,Conservatism,SocialConservatism,EconConservatism,Nationalism,Patriotism,IngroupAttitude,SDO,SJ,Authoritarianism,Dogmatism,IH1,IH2,IH3,IH4,IH_Total,ReligiousAttendance,ReligiousPrayer,ReligionImportance,SECS_Abortion_reversed,SECS_WelfareBen_reversed,SECS_LimitedGovt_Warmth,SECS_MilitaryNationalSecurity_Warmth,SECS_Religion_Warmth,SECS_GunOwnership_Warmth,SECS_TraditionalMarriage_Warmth,SECS_TraditionalValues_Warmth,SECS_FiscalResponsibility_Warmth,SECS_Business_Warmth,SECS_FamilyUnit_Warmth,SECS_Patriotism_Warmth,SECS_ParisAgreement_reversed,SECS_SameSexMarriage_reversed,SECS_Democracy_reversed,SECS_MAGA_Warmth,SECS_RestrictingImmigration_Warmth
108,s030,30,5,0,3,-0.802,0.800,-2.386,0.716,-1.462,0.919,-0.212,-0.144,1.156,0.129,-0.143,-0.245,0.035,2.217,-0.686,1.671,-0.554,79,42,37,42,23,23,27,35,4,37,18,19,21,21,79,1,1,1,4,9,6,8,1,6,7,6,8,8,9,7,6,11,4,8,10
109,s455,26,2,0,2,-1.113,-1.061,-0.607,-0.070,0.614,-0.891,-0.008,-0.820,-0.134,-0.417,0.036,-0.559,-0.185,-0.401,-1.409,0.768,-0.877,109,67,42,26,24,11,7,39,6,33,9,24,28,24,85,1,1,1,10,4,11,9,8,10,11,10,9,8,11,8,3,8,2,11,9
110,s198,29,2,1,2,-0.061,0.211,-0.628,1.251,0.970,1.488,-0.449,0.689,0.982,0.545,0.063,-0.289,-0.519,0.606,-0.247,0.810,0.523,62,33,29,21,19,13,10,25,4,24,20,20,24,24,88,1,1,1,4,5,4,5,4,6,6,4,8,6,6,4,4,3,3,1,5
111,s465,48,5,1,3,-0.266,-0.093,1.865,1.730,-0.632,1.664,0.751,-0.033,-0.786,0.665,0.780,-0.602,0.650,-1.865,0.412,0.831,1.362,97,68,29,39,34,19,10,34,11,37,22,24,30,18,94,5,6,4,11,3,6,8,10,2,10,9,9,9,10,10,2,11,2,8,5
112,s553,47,5,0,4,1.274,-1.870,0.325,-0.849,-0.464,-1.199,1.033,0.531,-0.154,1.261,0.501,-1.268,0.545,-0.391,-0.683,0.698,-0.269,92,59,33,42,32,8,4,40,8,44,24,22,29,13,88,5,6,4,3,6,6,10,11,7,6,11,6,8,11,7,5,2,1,10,5
113,s484, ,2,0,2,-0.666,-1.917,2.361,0.542,-0.427,-1.307,-0.034,-0.152,1.321,1.128,-0.979,1.326,-1.040,-1.363,-0.833,0.048,1.484,73,45,28,21,14,12,4,17,4,32,21,25,30,22,98,4,6,3,5,2,6,7,9,3,6,4,10,7,11,3,3,6,3,5,6
114,s056,51,3,0,3,0.742,-1.417,0.295,-0.499,0.115,0.344,0.996,-0.500,-1.957,1.254,-1.597,0.314,-1.187,-0.624,-0.234,-0.459,0.439,105,62,43,16,29,6,4,34,6,19,23,25,30,28,106,3,2,3,2,4,11,11,6,8,11,11,11,9,11,10,1,4,1,1,6
115,s533,30,3,0,3,0.224,1.261,-0.264,0.212,-1.185,0.103,1.053,1.217,-0.727,-0.623,0.447,-2.022,-1.717,0.843,0.765,0.043,-1.369,73,28,45,37,12,5,15,42,0,30,25,25,30,20,100,1,1,1,7,8,11,8,2,8,1,1,9,9,7,2,8,2,4,3,7
116,s018,36,7,0,3,-0.814,1.332,0.255,-0.499,0.898,-0.587,0.107,0.822,-0.150,0.113,-1.396,-0.643,1.261,1.788,-1.575,-0.366,-1.005,84,48,36,36,29,9,5,47,8,22,20,20,24,19,83,1,1,1,4,4,8,8,1,6,7,8,11,7,9,11,1,1,1,4,5
117,s373,29,5,0,1,-1.285,-0.221,0.837,0.316,1.318,0.508,-1.354,-1.506,0.832,0.012,-0.057,0.168,2.262,0.896,-0.928,0.303,-0.922,123,68,55,21,5,5,34,11,1,36,16,22,25,14,77,1,1,1,11,11,11,11,2,11,11,11,11,11,11,11,11,9,1,11,11
118,s413,36,6,0,4,-0.071,1.752,0.282,-1.237,-1.602,-0.471,1.311,1.834,-0.899,1.067,0.596,0.376,-1.385,-0.633,0.684,1.038,0.144,84,46,38,27,30,19,17,42,5,17,25,23,30,24,102,1,6,2,5,9,9,8,2,1,8,6,10,9,10,7,1,4,2,1,4
119,s376,41,5,0,3,0.927,-0.276,-0.153,-0.501,-1.211,-0.216,0.039,0.032,0.083,-0.110,-0.385,0.528,0.154,1.824,-1.467,0.679,-0.032,96,60,36,30,25,19,20,39,8,31,19,20,24,20,83,4,5,3,10,6,7,8,9,6,8,7,8,9,9,9,4,5,3,8,6
120,s424,42,6,1,2,1.577,1.342,-0.517,-1.198,-0.405,-0.979,0.278,-0.006,0.764,0.848,-1.490,0.778,-0.156,-0.846,0.014,-0.383,0.853,54,38,16,16,13,7,4,17,3,24,20,21,24,24,89,5,6,5,6,1,6,6,6,1,6,2,6,2,6,6,1,6,1,1,1
121,s233,44,3,1,2,-0.084,-0.696,1.142,-0.094,-0.873,-1.696,-0.344,-3.299,0.109,-0.109,-0.954,0.400,0.933,1.276,1.140,-1.154,-1.648,34,17,17,13,5,5,6,18,7,25,11,19,22,21,73,1,1,1,5,3,2,5,1,1,1,1,8,3,3,1,1,1,1,1,5
122,s090,44,4,1,2,0.045,-1.865,0.680,-0.346,1.642,-1.268,1.564,0.203,-1.608,0.950,0.747,0.713,-1.564,-0.277,1.495,-2.076,0.872,65,32,33,23,10,10,4,16,12,36,16,17,29,14,76,1,1,1,3,8,8,6,1,1,6,5,10,6,8,3,6,2,6,1,4
123,s163,46,5,0,5,-0.444,0.339,-0.450,-0.198,-1.458,-0.752,1.727,2.482,-0.542,-0.350,-2.635,1.626,-1.632,-1.526,-0.022,-1.102,-0.551,43,21,22,15,17,6,4,46,4,19,25,25,30,16,96,1,1,1,6,3,2,6,1,6,1,1,6,5,1,5,1,1,1,1,3
124,s084,49,4,0,4,-0.608,-1.869,-1.020,-1.781,1.329,0.515,1.064,-0.241,1.101,1.206,0.531,-0.290,1.363,-1.744,0.270,0.234,1.223,100,71,29,43,35,5,4,46,6,34,19,20,27,20,86,2,6,4,5,5,1,11,11,1,11,11,11,11,11,11,6,1,1,1,11
125,s278,40,4,1,2,0.455,-1.246,0.568,-2.211,0.356,-1.060,0.092,-2.756,0.121,-0.782,0.736,1.365,-0.634,0.532,0.973,0.239,-0.019,91,52,39,21,26,5,4,25,9,47,5,18,24,11,58,1,1,1,1,9,6,9,1,10,11,11,8,6,11,8,6,1,2,8,9
126,s334,35,4,1,4,-1.100,0.044,-0.180,0.567,-2.057,0.801,-0.594,1.386,0.152,0.637,-0.573,-1.145,-1.385,0.219,-0.223,-0.218,0.711,77,41,36,20,11,5,15,39,4,34,20,20,24,24,88,1,1,1,6,4,8,4,3,8,8,8,10,6,8,4,4,4,5,3,3
127,s260,41,5,1,4,-0.353,0.170,-1.394,0.423,-2.021,0.517,0.601,-0.496,-0.795,0.575,-0.576,-0.796,0.617,-0.749,-2.160,-0.396,-1.319,80,56,24,22,14,11,23,35,9,42,12,20,22,22,76,2,1,1,11,4,6,6,4,1,10,8,8,5,11,6,4,11,6,3,9
128,s410,28,4,1,1,0.093,-0.594,-0.196,-0.805,0.021,-1.032,-0.811,-2.530,-0.357,0.712,-0.099,-0.128,-0.537,-0.479,0.431,-1.603,0.890,86,50,36,25,18,10,4,19,5,30,25,25,30,30,110,1,1,1,11,6,6,9,1,9,9,8,9,6,6,6,2,4,6,9,8
129,s401,28,4,1,3,-1.059,-0.142,-1.578,0.705,0.334,0.948,-1.483,-0.788,0.749,-0.251,-0.749,-0.569,0.764,-0.316,-0.003,1.092,-0.819,52,23,29,28,17,5,4,18,2,21,25,21,28,30,104,1,1,1,3,9,4,5,3,7,1,1,6,3,5,5,4,1,7,1,1
